Unit,Chapter,Lesson,Description,Assignments,Notes,Videos
Unit 1: Problem Solving,Chapter 1: Problem Solving Process,Lesson 1: What is Computer Science?,Question of the Day: What is computer science and why is it important? Introduction to computer science and its applications in solving real-world problems.
Unit 1: Problem Solving,Chapter 1: Problem Solving Process,Lesson 2: The Problem Solving Process,Question of the Day: What is the problem-solving process in computer science? Students learn the steps of problem-solving and apply them to practical examples.
Unit 1: Problem Solving,Chapter 1: Problem Solving Process,Lesson 3: Exploring Problem Solving,Question of the Day: How can we apply problem-solving strategies to real-world scenarios? Exploration of problem-solving methods through group activities and challenges.
Unit 1: Problem Solving,Chapter 2: Communication and Collaboration,Lesson 4: Working in Teams,Question of the Day: How can we effectively collaborate in teams? Focus on teamwork and communication skills through interactive group exercises.
Unit 1: Problem Solving,Chapter 2: Communication and Collaboration,Lesson 5: Effective Communication,"Question of the Day: Why is communication important in computer science? Activities that develop effective communication practices, including technical documentation."
Unit 2: Web Development,Chapter 1: Creating Webpages,Lesson 1: Exploring Web Pages,Question of the Day: How can we choose websites based on the needs of a user? Students explore different websites.
Unit 2: Web Development,Chapter 1: Creating Webpages,Lesson 2: Intro to HTML,"Question of the Day: How can we tell the computer both what to put on the web page, and how to organize it? Students learn how to use HTML tags."
Unit 2: Web Development,Chapter 1: Creating Webpages,Lesson 3: Headings and Lists,Question of the Day: How can we work together to fix problems with our websites? This lesson introduces the core practices of pair programming and debugging. Students learn how to use different heading and list elements to give their web pages more structure.
Unit 2: Web Development,Chapter 1: Creating Webpages,Lesson 4: Digital Footprint,Question of the Day: How can you make sure that your private information stays private? Students explore how personal information appears online and guidelines for posting their own information as they prepare to create personalized websites.
Unit 2: Web Development,Chapter 1: Creating Webpages,Lesson 5: Mini-Project: HTML Web Page,"Question of the Day: How can I use HTML to design and build a web page for a user? Students use their knowledge of HTML to design and build a web page for a user, using the Problem Solving Process for planning and feedback."
Unit 2: Web Development,Chapter 1: Creating Webpages,Lesson 6: Styling Text with CSS,Question of the Day: How can we change the style of text on a web page? Introduces CSS as a way to style elements on the page. Students learn the syntax for CSS rule-sets and explore text styling properties.
Unit 2: Web Development,Chapter 1: Creating Webpages,Lesson 7: Intellectual Property,"Question of the Day: What kind of rules protect everyone's rights when we use each other's content? Students learn about copyright rules, the importance of respecting intellectual property, and Creative Commons licenses."
Unit 2: Web Development,Chapter 1: Creating Webpages,Lesson 8: Using Images,"Question of the Day: How can we add images on our websites while making sure we respect everyone's rights? Students learn about self-closing tags and image attributes, with a focus on ethical usage and proper citation."
Unit 2: Web Development,Chapter 1: Creating Webpages,Lesson 9: Styling Elements with CSS,"Question of the Day: How can we style the images and layouts of our pages? Students expand their CSS skills by learning properties for styling non-text elements, applying these to personalize their web pages."
Unit 2: Web Development,Chapter 1: Creating Webpages,Lesson 10: Mini-Project: Adding Style to a Web Page,"Question of the Day: How can I use CSS to style a web page for a user? Students style a webpage for a user, applying CSS knowledge and revising their designs based on feedback."
Unit 2: Web Development,Chapter 1: Creating Webpages,Lesson 11: CSS Classes,"Question of the Day: How can we create different styles for the same type of element? Students learn about CSS classes for flexible styling, allowing specific styling for individual or grouped elements."
Unit 2: Web Development,Chapter 1: Creating Webpages,Lesson 12: Organizing Content with Flexbox,"Question of the Day: What are div tags and Flexbox, and why are they important in web design? Students use div tags and Flexbox properties to organize and align webpage layouts."
Unit 2: Web Development,Chapter 1: Creating Webpages,Lesson 13: Flexbox Children for More Control,Question of the Day: How do Flexbox child properties affect the layout and organization of elements within a webpage? Students explore advanced Flexbox properties such as `align-self` and `order` to control layout.
Unit 2: Web Development,Chapter 1: Creating Webpages,Lesson 14: Chapter 1 Project,"Question of the Day: How can I use CSS classes and Flexbox to organize webpage content for a user? Students complete a chapter project, designing and organizing content with CSS classes and Flexbox."
Unit 2: Web Development,Chapter 2: Multi-page Websites,Lesson 15: Team Problem Solving,"Question of the Day: How can we work together to make a great team? This lesson addresses group collaboration challenges. Students set group norms and brainstorm website features, planning how to work together for success on their project."
Unit 2: Web Development,Chapter 2: Multi-page Websites,Lesson 16: Sources and Research,"Question of the Day: How do we find relevant and trustworthy information on the Internet? Students learn strategies for finding credible information online. They apply these strategies to their projects, considering how to make their own sites appear trustworthy."
Unit 2: Web Development,Chapter 2: Multi-page Websites,Lesson 17: Linking Pages,"Question of the Day: How can we combine several different web pages into one website? Students explore links and navigation best practices, learning to create links and organize pages into a cohesive multi-page site."
